,Konfession,Count_Konfession,Fach,Count_Fach,Vater_Beruf,Count_Vater_Beruf,Studiumbeginn,Count_Studiumbeginn
0,ev.,0.9680851063829787,,,,,,
1,kath.,0.031914893617021274,,,,,,
0,,,Andere,0.0755813953488372,,,,
1,,,Forstwissenschaft,0.05232558139534884,,,,
2,,,Jura,0.37209302325581395,,,,
3,,,Kameralwissenschaft,0.029069767441860465,,,,
4,,,Medizin,0.3313953488372093,,,,
5,,,"Philosophie, philosophisch",0.040697674418604654,,,,
6,,,Regiminalistik,0.029069767441860465,,,,
7,,,evangelische Theologie,0.046511627906976744,,,,
8,,,rer.Naturwissenschaften,0.023255813953488372,,,,
0,,,,,Andere,0.5976331360946745,,
1,,,,,Apotheker,0.0650887573964497,,
2,,,,,Arzt,0.11834319526627218,,
3,,,,,Kaufmann,0.10059171597633136,,
4,,,,,Pastor,0.029585798816568046,,
5,,,,,Pfarrer,0.05917159763313609,,
6,,,,,Rechtsanwalt,0.029585798816568046,,
0,,,,,,,1843,1.0
1,,,,,,,1848,2.0
2,,,,,,,1850,1.0
3,,,,,,,1852,2.0
4,,,,,,,1853,2.0
5,,,,,,,1854,1.0
6,,,,,,,1855,2.0
7,,,,,,,1856,3.0
8,,,,,,,1857,6.0
9,,,,,,,1858,8.0
10,,,,,,,1859,1.0
11,,,,,,,1860,4.0
12,,,,,,,1861,9.0
13,,,,,,,1862,3.0
14,,,,,,,1863,3.0
15,,,,,,,1864,3.0
16,,,,,,,1865,3.0
17,,,,,,,1866,4.0
18,,,,,,,1867,3.0
19,,,,,,,1868,3.0
20,,,,,,,1869,2.0
21,,,,,,,1870,1.0
22,,,,,,,1871,4.0
23,,,,,,,1874,3.0
24,,,,,,,1875,1.0
25,,,,,,,1876,2.0
26,,,,,,,1877,4.0
27,,,,,,,1878,4.0
28,,,,,,,1879,2.0
29,,,,,,,1880,6.0
30,,,,,,,1881,4.0
31,,,,,,,1882,5.0
32,,,,,,,1883,2.0
33,,,,,,,1884,1.0
34,,,,,,,1885,2.0
35,,,,,,,1886,2.0
36,,,,,,,1887,2.0
37,,,,,,,1888,3.0
38,,,,,,,1889,2.0
39,,,,,,,1890,2.0
40,,,,,,,1891,4.0
41,,,,,,,1892,3.0
42,,,,,,,1893,5.0
43,,,,,,,1894,1.0
44,,,,,,,1895,2.0
45,,,,,,,1896,2.0
46,,,,,,,1897,2.0
47,,,,,,,1898,7.0
48,,,,,,,1899,8.0
49,,,,,,,1901,2.0
50,,,,,,,1902,2.0
51,,,,,,,1903,5.0
52,,,,,,,1904,2.0
