,Konfession,Count_Konfession,Fach,Count_Fach,Vater_Beruf,Count_Vater_Beruf,Studiumbeginn,Count_Studiumbeginn
0,ev.,0.9354838709677419,,,,,,
1,kath.,0.03225806451612903,,,,,,
2,mos.,0.03225806451612903,,,,,,
0,,,Andere,0.07291666666666666,,,,
1,,,Forstwissenschaft,0.020833333333333332,,,,
2,,,Jura,0.20833333333333334,,,,
3,,,Kameralwissenschaft,0.08333333333333333,,,,
4,,,Medizin,0.21875,,,,
5,,,PharmazieHospitierender,0.11458333333333333,,,,
6,,,Regiminalistik,0.07291666666666667,,,,
7,,,Seminarist,0.020833333333333332,,,,
8,,,chir.Hospitierender,0.03125,,,,
9,,,evangelische Theologie,0.15625,,,,
0,,,,,Andere,0.5869565217391304,,
1,,,,,Apotheker,0.021739130434782608,,
2,,,,,Arzt,0.09782608695652174,,
3,,,,,Fabrikant,0.021739130434782608,,
4,,,,,Gasthofbesitzer,0.021739130434782608,,
5,,,,,Gerichtsnotar,0.043478260869565216,,
6,,,,,Kameralverwalter,0.03260869565217391,,
7,,,,,Kaufmann,0.021739130434782608,,
8,,,,,Oberjustizrat,0.021739130434782608,,
9,,,,,Pfarrer,0.13043478260869565,,
0,,,,,,,1829,1.0
1,,,,,,,1841,1.0
2,,,,,,,1842,2.0
3,,,,,,,1843,1.0
4,,,,,,,1844,3.0
5,,,,,,,1845,1.0
6,,,,,,,1847,2.0
7,,,,,,,1848,5.0
8,,,,,,,1849,5.0
9,,,,,,,1850,3.0
10,,,,,,,1851,6.0
11,,,,,,,1852,4.0
12,,,,,,,1853,5.0
13,,,,,,,1854,7.0
14,,,,,,,1855,2.0
15,,,,,,,1856,6.0
16,,,,,,,1857,4.0
17,,,,,,,1858,5.0
18,,,,,,,1859,4.0
19,,,,,,,1860,2.0
20,,,,,,,1865,1.0
21,,,,,,,1866,5.0
22,,,,,,,1882,1.0
23,,,,,,,1888,1.0
24,,,,,,,1894,1.0
25,,,,,,,1896,3.0
26,,,,,,,1897,2.0
27,,,,,,,1898,6.0
28,,,,,,,1899,1.0
29,,,,,,,1900,1.0
30,,,,,,,1902,2.0
31,,,,,,,1903,2.0
