,Konfession,Count_Konfession,Fach,Count_Fach,Vater_Beruf,Count_Vater_Beruf,Studiumbeginn,Count_Studiumbeginn
0,ev.,0.9117647058823529,,,,,,
1,kath.,0.08823529411764706,,,,,,
0,,,Andere,0.06666666666666667,,,,
1,,,Forstwissenschaft,0.041666666666666664,,,,
2,,,Jura,0.6833333333333333,,,,
3,,,Medizin,0.175,,,,
4,,,evangelische Theologie,0.03333333333333333,,,,
0,,,,,Andere,0.6864406779661016,,
1,,,,,Arzt,0.059322033898305086,,
2,,,,,Gutsbesitzer,0.025423728813559324,,
3,,,,,Kaufmann,0.1271186440677966,,
4,,,,,Pfarrer,0.025423728813559324,,
5,,,,,Regierungsrat,0.03389830508474576,,
6,,,,,Rittergutsbesitzer,0.0423728813559322,,
0,,,,,,,1832,1.0
1,,,,,,,1834,3.0
2,,,,,,,1836,1.0
3,,,,,,,1837,1.0
4,,,,,,,1838,1.0
5,,,,,,,1839,1.0
6,,,,,,,1840,1.0
7,,,,,,,1841,2.0
8,,,,,,,1842,1.0
9,,,,,,,1843,1.0
10,,,,,,,1844,1.0
11,,,,,,,1847,1.0
12,,,,,,,1849,3.0
13,,,,,,,1851,1.0
14,,,,,,,1853,3.0
15,,,,,,,1854,1.0
16,,,,,,,1855,2.0
17,,,,,,,1856,1.0
18,,,,,,,1858,2.0
19,,,,,,,1860,2.0
20,,,,,,,1861,1.0
21,,,,,,,1863,1.0
22,,,,,,,1864,3.0
23,,,,,,,1866,2.0
24,,,,,,,1868,2.0
25,,,,,,,1871,1.0
26,,,,,,,1874,1.0
27,,,,,,,1875,2.0
28,,,,,,,1876,2.0
29,,,,,,,1877,4.0
30,,,,,,,1878,4.0
31,,,,,,,1879,4.0
32,,,,,,,1880,4.0
33,,,,,,,1881,1.0
34,,,,,,,1882,2.0
35,,,,,,,1883,1.0
36,,,,,,,1884,1.0
37,,,,,,,1885,4.0
38,,,,,,,1886,3.0
39,,,,,,,1887,1.0
40,,,,,,,1888,2.0
41,,,,,,,1889,3.0
42,,,,,,,1892,4.0
43,,,,,,,1893,2.0
44,,,,,,,1894,2.0
45,,,,,,,1895,1.0
46,,,,,,,1896,3.0
47,,,,,,,1897,2.0
48,,,,,,,1898,3.0
49,,,,,,,1899,3.0
50,,,,,,,1900,3.0
51,,,,,,,1901,4.0
52,,,,,,,1902,3.0
53,,,,,,,1903,6.0
54,,,,,,,1904,3.0
