city,count
 Bern­Schweiz,0
 Hamburg,0
 Löchgau,0
 Stuttgart,0
 Trier,0
 Weissenfels,1
"""Villa Stadt Paris"" a. Helgoland",0
(Neundörfer,0
(verschollen),0
[Alperts Gmd.] Ratzenried,1
[Baiermühle Gmd.] Aufhausen,1
[Berlin],1
[Blaubeuren],1
[Breitenteich],1
[Bremen],1
[Crivitz],1
[Goshen,1
[Hohenkirchen],1
[Kt. Graubünden­Schweiz],1
[Los Àngeles]­Chile i. Südamerika,1
[Mangalur­Ostindien],1
[Meercut,1
[Nagy-Körös]­Ungarn,1
[Neckarelz,1
[Nieder-]Wildungen,1
[Schorndorf],2
[Schwäbisch] Gmünd,3
[St.] Petersburg­[Russland],1
[St.] Petersburg­Russland,1
[Steinbach,1
[Stuttgart],1
[Zettemin],1
1875,1
a. Harz,1
a.d. Yser­Belgien,0
Aachen,6
Aaldingen,1
Aalen,15
Aarau,6
Aarau­[Schweiz],1
Aarau­Schweiz,1
Aarberg,2
Abbazia­Jugoslawien,0
Abbehausen,1
Abbenrode,0
Aberdeen,2
Aberdeen­Schottland,1
Aberdeenshire­Schottland,1
Aberdrenshire­Schottland,1
Ablach,0
Abo­Finnland,1
Abokobi,1
Abtsgmünd,4
Aburi­Goldküste i. West-Afrika,1
Aburi­Westafrika,1
Accum,1
Achern,1
Achim i.Harz,1
Ackendorf,1
Ada,1
Adelberg,2
Adelmannsfelden,5
Adelsheim,2
Adelshofen,1
Ader,1
adersleben,0
Adl. Borkau,1
Adolzfurth,3
Adolzhausen,3
Adorf,2
Aengst a. Albis,1
Aesch,1
Affalterbach,1
Affaltrach,2
Affing,1
Affstädt,1
Agnethlen,1
Ahausen,1
Ahden,1
Ahldorf,2
Ahlen,1
Ahliwiesto­Finnland,1
Ahlshausen,1
Ahrenburg i. Holstein,0
Ahrensboek,1
Aichach,1
Aichelberg,1
Aichschieß,1
Aichstetten,2
Aidlingen,1
Ailingen,0
Ailringen,1
Aisne,0
Aistaig,1
Aisteig,1
Akaroa,0
Aken,1
Akita­Japan,1
Akropong,1
Akropong­Goldküste­Westafrika,1
Akropong­Westafrika,4
Alaunwerk Bad Düben,0
Albano­Italien,1
Albertshausen,1
Albertskirch,1
Albrechtsdorf i.d. Niederlausitz,1
Albungen a.d. Werra,1
Aldingen,2
Alen?,1
Alexandrien­Ägypten,1
Alfdorf,2
Alfeld,2
Alfhausen,1
Aligse,0
Allegheny Cita,1
Allenstein,0
Alles,1
Allmersbach,1
