city,count
 Bern­Schweiz,1
 Hamburg,1
 Löchgau,1
 Stuttgart,1
 Trier,1
 Weissenfels,0
"""Villa Stadt Paris"" a. Helgoland",1
(Neundörfer,1
(verschollen),1
[Alperts Gmd.] Ratzenried,0
[Baiermühle Gmd.] Aufhausen,0
[Berlin],0
[Blaubeuren],0
[Breitenteich],0
[Bremen],0
[Crivitz],0
[Goshen,0
[Hohenkirchen],0
[Kt. Graubünden­Schweiz],0
[Los Àngeles]­Chile i. Südamerika,0
[Mangalur­Ostindien],0
[Meercut,0
[Nagy-Körös]­Ungarn,0
[Neckarelz,0
[Nieder-]Wildungen,0
[Schorndorf],0
[Schwäbisch] Gmünd,0
[St.] Petersburg­[Russland],0
[St.] Petersburg­Russland,0
[Steinbach,0
[Stuttgart],0
[Zettemin],0
1875,0
a. Harz,0
a.d. Yser­Belgien,1
Aachen,5
Aaldingen,0
Aalen,5
Aarau,0
Aarau­[Schweiz],0
Aarau­Schweiz,2
Aarberg,0
Abbazia­Jugoslawien,1
Abbehausen,1
Abbenrode,1
Aberdeen,0
Aberdeen­Schottland,1
Aberdeenshire­Schottland,0
Aberdrenshire­Schottland,0
Ablach,1
Abo­Finnland,1
Abokobi,0
Abtsgmünd,0
Aburi­Goldküste i. West-Afrika,0
Aburi­Westafrika,0
Accum,0
Achern,0
Achim i.Harz,0
Ackendorf,0
Ada,0
Adelberg,0
Adelmannsfelden,0
Adelsheim,1
Adelshofen,0
Ader,0
adersleben,1
Adl. Borkau,0
Adolzfurth,0
Adolzhausen,0
Adorf,0
Aengst a. Albis,0
Aesch,0
Affalterbach,0
Affaltrach,1
Affing,0
Affstädt,0
Agnethlen,0
Ahausen,0
Ahden,0
Ahldorf,0
Ahlen,0
Ahliwiesto­Finnland,0
Ahlshausen,0
Ahrenburg i. Holstein,1
Ahrensboek,0
Aichach,0
Aichelberg,0
Aichschieß,0
Aichstetten,4
Aidlingen,0
Ailingen,1
Ailringen,0
Aisne,1
Aistaig,0
Aisteig,0
Akaroa,1
Aken,0
Akita­Japan,0
Akropong,0
Akropong­Goldküste­Westafrika,0
Akropong­Westafrika,0
Alaunwerk Bad Düben,1
Albano­Italien,0
Albertshausen,0
Albertskirch,0
Albrechtsdorf i.d. Niederlausitz,0
Albungen a.d. Werra,0
Aldingen,0
Alen?,0
Alexandrien­Ägypten,0
Alfdorf,1
Alfeld,0
Alfhausen,0
Aligse,1
Allegheny Cita,0
Allenstein,1
Alles,0
Allmersbach,0
Allrode,0
Allschwil,0
Allschwill,1
Almens,0
Almrich,0
Alost­Belgien,1
Alpeck,0
Alpenrod,0
Alpirsbach,2
Alpirsbachh,0
Alpnachstad,1
Alsbach,1
Alsenz,0
Alsenz i.d. Rheinpfalz,0
Alsleben,1
Alsleben a.d. Saale,0
Alt St. Johann,0
Alt-Carwen,0
Alt-Damerow,0
Altdorf,0
Altdorf-Weingarten,0
Alt-Dünterndorf?,0
Alt-Elft,1
Altena,1
Altenahr,0
Altenbögge-Bönen,1
Altenbuch i. Spessart,0
Altenburg,1
Altenesch,0
Altenhof,1
Altenkirch,0
Altenkirchen,1
Altenmünster,0
Altenstadt,0
Altensteig,0
Altenstein,2
Alterstedt,0
Altesteig,1
Alt-Farpen,0
Altfelde,0
Alt-Gatersleben,0
Altharen,0
Althausen,1
Altheim,0
Althengstett,1
Althundem,0
Althütten,0
Altlandsberg,0
Alt-Landsberg,0
Altleiningen,0
Altluneberg,0
Altlusheim,0
Altlußheim,0
Altnau,0
Altneuhaus,0
Altoberndorf,0
Altona,4
Altona a.d. Elbe,0
Altona Hamburg,1
Altona-Othmarschen,1
Altona-Ottensen,0
Altona-Ottensenn,0
Altscherbitz,1
Alt-Scherbitz,1
Altschlußheim,0
Altshausen,2
Altstätten­Schweiz,1
Altston­England,0
Alt-Strelitz,0
Alt-Warthau,0
Altweilnau,0
Alzey,0
Amberg,0
Amelsbüren,1
Amerika,1
Amiens­Frankreich,1
Amlishagen,0
Ammersweiler,0
Amorbach,1
Amrum,1
Amsdorf a. See,0
Amsterdam,1
Amsterdam­Holland,0
Amsterdam­Niederlande,0
Amt Mildenberg,0
Amtzell,1
an Verwundung,2
Anandapur­Ostindien,0
Anclam,0
Andeer,1
Andelsbuch,0
Andernach,2
Angerbrug,0
Angermünde,0
Angern,1
Angola­Westafrika,1
Anis­Süd-Afrika,0
Anklam,0
Anlo???ele,0
Ann Arbor,2
Annaberg,1
Annarbor,0
Annen,1
Annweiler i.d. Pfalz,0
Annweiler i.d. Rheinpfalz,0
Ansbach,2
Ansbach i. Mittelfranken,0
Anspach,1
Antibes,0
Antwerpen­[Belgien],0
Antwerpen­Belgien,0
Anviaotee,0
Aplerbeck,0
Appenrade,0
Appolinarisbrunnen,0
Appriken,0
Aprémont,1
Archangel­Russland,0
Archshofen,0
Arckel,0
Arco,2
Ardez,1
Areuse-Boudry­Schweiz,1
Arkel,0
Arnegg,0
Arnsberg,0
Arnstadt,0
Arnswalde,0
Arolsen,1
Arosa,2
Arosa­Schweiz,3
Arras,1
Arras­Frankreich,2
Arstadt,0
