query;formatted;lon;lat;confidence;
(Neundörfer;Neundorfer Vorstadt, 08523 Plauen, Germany;12.1190648;50.4922098;1;
Aachen;Aachen, North Rhine-Westphalia, Germany;6.083862;50.776351;1;
Aalen;Aalen, BW, Germany;10.0931765;48.8362705;1;
Aarau;5000 Aarau, Switzerland;8.0444448;47.3927146;1;
Aarau[Schweiz];5000 Aarau, Switzerland;8.0444448;47.3927146;1;
Aarberg;3270 Aarberg, Switzerland;7.2753004;47.0443346;1;
Abbehausen;Abbehausen, 26954 Ellwürden, Germany;8.440676;53.4834287;1;
Abbenrode;Abbenrode, Saxony-Anhalt, Germany;10.6271665;51.9261817;1;
Aberdeen;Macqueen Street, Aberdeen NSW 2336, Australia;150.8919671;-32.1668733;1;
Ablach;72505 Ablach, Germany;9.2244682;48.0211028;1;
Abokobi;Abokobi, Oyarifa, Ghana;-0.1948689;5.7381697;1;
Abtsgmünd;73453 Abtsgmünd, Germany;9.9688589;48.8818689;1;
Accum;Accum, Schortens, Lower Saxony, Germany;8.01257;53.544;1;
Achern;77855 Achern, Germany;8.0735581;48.6300161;1;
Ackendorf;Ackendorf, Saxony-Anhalt, Germany;11.4381479;52.2230722;1;
Ada;Ada, MN 56510, United States of America;-96.5153463;47.299689;1;
Adelberg;73099 Adelberg, Germany;9.5975232;48.7628274;1;
Adelmannsfelden;73486 Adelmannsfelden, Germany;10.0046763;48.9547314;1;
Adelsheim;74740 Adelsheim, Germany;9.3903482;49.4053706;1;
Adelshofen;91587 Adelshofen, Germany;10.1740966;49.4393454;1;
Ader;Ader, Otuke, Uganda;33.3080834;2.5378299;1;
Adolzhausen;Adolzhausen, BW, Germany;9.8718745;49.4030619;1;
Adolzhausen;Adolzhausen, BW, Germany;9.8718745;49.4030619;1;
Adorf;Adorf, Hesse, Germany;8.8057273;51.3604209;1;
Aesch;4147 Aesch, Switzerland;7.5980395;47.4682447;1;
Affalterbach;71563 Affalterbach, Germany;9.3230504;48.9218388;1;
Affaltrach;74182 Affaltrach, Germany;9.3846015;49.1358846;1;
Affing;86444 Affing, Germany;10.9822507;48.4578556;1;
Ahausen;Ahausen, Lower Saxony, Germany;9.3129845;53.0622888;1;
Ahden;33142 Ahden, Germany;8.6229818;51.6029322;1;
Ahldorf;72160 Ahldorf, Germany;8.7419747;48.4448474;1;
Ahlen;Ahlen, North Rhine-Westphalia, Germany;7.8909086;51.7627633;1;
Ahlshausen;Ahlshausen, Lower Saxony, Germany;9.9721635;51.7925248;1;
Ahrensboek;23623 Ahrensbök, Germany;10.5752645;54.0130295;1;
Aichach;86551 Aichach, Germany;11.1309953;48.4591478;1;
Aichelberg;73101 Aichelberg, Germany;9.5678246;48.6354038;1;
Aichschieß;Aichschieß, 73773 Aichwald, Germany;9.3928765;48.74818;1;
Aichstetten;88317 Aichstetten, Germany;10.077408;47.8926582;1;
Aidlingen;71134 Aidlingen, Germany;8.8983347;48.6785572;1;
Ailingen;Ailingen, 88048 Friedrichshafen, Germany;9.4903528;47.6883971;1;
Ailringen;74677 Ailringen, Germany;9.7508753;49.3733899;1;
Aisne;Aisne, France;3.606899003594057;49.453285449999996;1;
Aistaig;Aistaig, 78727 Oberndorf am Neckar, Germany;8.5702667;48.3138235;1;
Aistaig;Aistaig, 78727 Oberndorf am Neckar, Germany;8.5702667;48.3138235;1;
Akaroa;Akaroa, Break O'Day, TAS, Australia;148.3181547;-41.3020897;1;
Aken;Aken, Konshisha, Nigeria;8.8421;7.0328;1;
Akropong;Akropong, Akuapim North Municipal District, Ghana;-0.0891667;5.9705603;1;
Alaunwerk Bad Düben;Alaunwerk, 04849 Bad Düben, Germany;12.5510837;51.6080452;1;
Albertshausen;97723 Albertshausen, Germany;9.9923135;50.2056028;1;
Aldingen;78554 Aldingen, Germany;8.7025341;48.092217;1;
Aldingen;78554 Aldingen, Germany;8.7025341;48.092217;1;
Alen?;11010 Allein, Italy;7.2725119;45.8078386;1;
Alfdorf;73553 Alfdorf, Germany;9.7220876;48.8441425;1;
Alfeld;91236 Alfeld, Germany;11.5439334;49.4291538;1;
Alfhausen;49594 Alfhausen, Germany;7.9520785;52.5006786;1;
Aligse;Aligse, Lehrte, Lower Saxony, Germany;9.968096867039051;52.3975831;1;
Allenstein;Olsztyn, Warmian-Masurian Voivodeship, Poland;20.476507;53.7766839;1;
Alles;Alles, 33578 Peñamellera Alta, Spain;-4.7070278;43.3345449;1;
Allmersbach;Allmersbach, 71546 Aspach, Germany;9.3863103;48.9949656;1;
Allrode;Allrode, Saxony-Anhalt, Germany;10.9681272;51.6778095;1;
Allschwil;4123 Allschwil, Switzerland;7.5365611;47.5510799;1;
Allschwil;4123 Allschwil, Switzerland;7.5365611;47.5510799;1;
Almens;Almens, 7416 Domleschg, Switzerland;9.4563322;46.7376383;1;
Almrich;Almrich, 06618 Naumburg (Saale), Germany;11.7734919;51.1507062;1;
Alpenrod;57642 Alpenrod, Germany;7.8683622;50.6316731;1;
Alpirsbach;72275 Alpirsbach, Germany;8.4033079;48.3456021;1;
Alpirsbach;72275 Alpirsbach, Germany;8.4033079;48.3456021;1;
Alpnachstad;Alpnachstad, 6053 Alpnach, Switzerland;8.2743405;46.9534182;1;
Alsbach;Alsbach, Rhineland-Palatinate, Germany;7.6618575;50.4641502;1;
Alsenz;67821 Alsenz, Germany;7.8154248;49.7242877;1;
Alsleben;Alsleben, Saxony-Anhalt, Germany;11.6783936;51.7015251;1;
Alt St. Johann;Wildhaus-Alt St. Johann, Wahlkreis Toggenburg, Switzerland;9.2840566;47.1940929;1;
Alt-Damerow;Alt Damerow, 19374 Parchimer Umland, Germany;11.7425708;53.4692886;1;
Alt-Elft;Bolhrad Raion, Sadove, 68422, Ukraine;29.2789521;46.0184203;1;
Alt-Farpen;Alt Farpen, 23974 Blowatz, Germany;11.5445791;53.9629212;1;
Alt-Strelitz;Ihr Friseur in Alt-Strelitz, Wesenberger Straße 7, 17235 Neustrelitz, Germany;13.092234099999999;53.3320915;1;
Alt-Warthau;59-722 Warta Bolesławiecka, Poland;15.6659455;51.2322843;1;
Altdorf;67482 Altdorf, Germany;8.2173112;49.2861586;1;
Altena;58762 Altena, Germany;7.6734841;51.2990263;1;
Altenahr;Altenahr, Rhineland-Palatinate, Germany;6.9920517;50.5169469;1;
Altenburg;04600 Altenburg, Germany;12.4340988;50.9852411;1;
Altenesch;27809 Lemwerder, Germany;8.6081507;53.1617117;1;
Altenhof;Altenhof, SH, Germany;9.8718523;54.4337876;1;
Altenkirch;Malomozhajskoye, Nemansky District, Russia;22.2032853;54.9197514;1;
Altenkirchen;Altenkirchen, MV, Germany;13.3439199;54.6360021;1;
Altenmünster;86450 Altenmünster, Germany;10.590822;48.4646548;1;
Altenstadt;86972 Altenstadt, Germany;10.8734632;47.823657;1;
Altensteig;72213 Altensteig, Germany;8.6052271;48.5878287;1;
Altensteig;72213 Altensteig, Germany;8.6052271;48.5878287;1;
Altenstein;96176 Altenstein, Germany;10.73318;50.1716967;1;
Alterstedt;Alterstedt, Thuringia, Germany;10.5500234;51.0942792;1;
Altfelde;82-220 Stare Pole, Poland;19.2035336;54.0546851;1;
Altharen;49733 Altharen, Germany;7.2191536;52.7831545;1;
Althausen;97980 Althausen, Germany;9.7479157;49.4700806;1;
Altheim;89605 Altheim, Germany;9.7705081;48.3279917;1;
Althengstett;75382 Althengstett, Germany;8.7964545;48.7232378;1;
Althütten;Stará Huť, Central Bohemia, Czechia;14.1972624;49.782113;1;
Altlandsberg;Altlandsberg, BB, Germany;13.7245542;52.5614869;1;
Altleiningen;67317 Altleiningen, Germany;8.07333;49.5075;1;
Altluneberg;Altluneberg, Lower Saxony, Germany;8.820185;53.5257398;1;
Altlußheim;68804 Altlußheim, Germany;8.4981809;49.3004929;1;
Altlußheim;68804 Altlußheim, Germany;8.4981809;49.3004929;1;
Altnau;8595 Altnau, Switzerland;9.260705;47.61241;1;
Altneuhaus;Altneuhaus, 95685 Falkenberg, Germany;12.1944315;49.8327311;1;
Altoberndorf;Altoberndorf, 78736 Oberndorf am Neckar, Germany;8.5963356;48.2749111;1;
Altona Hamburg;Altona, Hamburg, Germany;9.777669726868917;53.58646755;1;
Altona;Railway Street South, Altona VIC 3018, Australia;144.82949742472704;-37.86715875;1;
Altscherbitz;Altscherbitz, 04435 Schkeuditz, Germany;12.2335655;51.3921126;1;
Altshausen;88361 Altshausen, Germany;9.5386115;47.934423;1;
Altweilnau;61276 Altweilnau, Germany;8.4204721;50.3158495;1;
Alzey;Alzey, Rhineland-Palatinate, Germany;8.1150946;49.7455695;1;
Amberg;92224 Amberg, Germany;11.858728;49.4454211;1;
Amelsbüren;Amelsbüren, Münster, North Rhine-Westphalia, Germany;7.6059771;51.8833893;1;
Amerika;United States;-100.445882;39.7837304;1;
Amlishagen;74572 Amlishagen, Germany;9.962686;49.2640525;1;
Amorbach;63916 Amorbach, Germany;9.2225034;49.643684;1;
Amrum;25946 Norddorf auf Amrum, Germany;8.328274983040426;54.6601796;1;
Amsterdam;Amsterdam, North Holland, Netherlands;4.8936041;52.3727598;1;
Amt Mildenberg;Amt Mildenberg, 16792 Zehdenick, Germany;13.2747688;53.020141;1;
Amtzell;88279 Amtzell, Germany;9.7470469;47.7062554;1;
Anclam;17389 Anklam, Germany;13.688091;53.8560526;1;
Andeer;Andeer, Viamala, Switzerland;9.4269682;46.6022665;1;
Andelsbuch;Gemeinde Andelsbuch, Bezirk Bregenz, Austria;9.909668328662285;47.406438800000004;1;
Andernach;56626 Andernach, Germany;7.4023145;50.4391924;1;
Angermünde;Angermünde, BB, Germany;13.9981503;53.017276;1;
Angern;Angern, Saxony-Anhalt, Germany;11.7355497;52.3574438;1;
Anklam;17389 Anklam, Germany;13.688091;53.8560526;1;
Ann Arbor;Ann Arbor, MI, United States of America;-83.7312291;42.2681569;1;
Annaberg;Annaberg, MPM, Papua New Guinea;144.6450842;-4.9075592;1;
Annarbor;Annarbor Drive, Hillsborough County, FL 33610, United States of America;-82.340834;27.986182;1;
Annen;Annen, DR, Netherlands;6.72731;53.05532;1;
Ansbach;91522 Ansbach, Germany;10.5722288;49.3028611;1;
Anspach;Anspach, 97944 Schwabhausen, Germany;9.62079;49.4674543;1;
Antibes;Antibes, Maritime Alps, France;7.10905;43.5836;1;
Aplerbeck;Aplerbeck, 44287 Dortmund, Germany;7.5546247;51.4928491;1;
Aprémont;60300 Apremont, France;2.5113646;49.2247297;1;
Archshofen;97993 Archshofen, Germany;10.071058;49.4531142;1;
Arckel;Van Arckel Road, Wynberg, Cape Town, 7800, South Africa;18.4542035;-34.004787;1;
Arco;38062 Arco TN, Italy;10.8860953;45.9181327;1;
Ardez;7546 Ardez, Switzerland;10.2012095;46.7745373;1;
Arkel;Parallelweg, 4241 XH Arkel, Netherlands;4.9927723;51.8721203;1;
Arnegg;9212 Arnegg, Switzerland;9.2561241;47.44337;1;
Arnsberg;Arnsberg, North Rhine-Westphalia, Germany;8.0605908;51.4002384;1;
Arnstadt;99310 Arnstadt, Germany;10.9461479;50.8349097;1;
Arnstadt;99310 Arnstadt, Germany;10.9461479;50.8349097;1;
Arnswalde;73-200 Choszczno, Poland;15.4167349;53.1704801;1;
Arolsen;34454 Bad Arolsen, Germany;9.0376388;51.3649894;1;
Arosa;Arosa, Plessur, Switzerland;9.6781356;46.7797248;1;
Arras;62000 Arras, France;2.7772211;50.291048;1;
Artern;06556 Artern, Germany;11.2935249;51.3627798;1;
Arth;Arth, Schwyz, Switzerland;8.5238673;47.0644551;1;
Asbach;53567 Asbach, Germany;7.4245809;50.6671382;1;
Asch;Asch, GE, Netherlands;5.312974;51.9305476;1;
Aschaffenburg;Aschaffenburg, Bavaria, Germany;9.1493636;49.9740542;1;
Aschersleben;06449 Aschersleben, Germany;11.462134;51.7559549;1;
Aspenstedt;Aspenstedt, Saxony-Anhalt, Germany;10.9501135;51.9357186;1;
Asperg;71679 Asperg, Germany;9.1350865;48.9058591;1;
Asterlagen;Asterlagen, 47228 Duisburg, Germany;6.6894358;51.4265359;1;
Athen;10431 Athens, Greece;23.7283052;37.9839412;1;
Attendorn;57439 Attendorn, Germany;7.9010992;51.1250541;1;
Attenhausen;Attenhausen, Rhineland-Palatinate, Germany;7.8769892;50.2918502;1;
Attenweiler;88448 Attenweiler, Germany;9.6991205;48.1377045;1;
Auburn;Auburn, AL, United States of America;-85.4807825;32.6098566;1;
Audenhain;04862 Audenhain, Germany;12.8457587;51.5001875;1;
Aue;Aue, Saxony, Germany;12.701994;50.590784;1;
Auenstein;5105 Auenstein, Switzerland;8.1370602;47.4168206;1;
Aufhausen;93089 Aufhausen, Germany;12.283701;48.8726932;1;
Auggen;79424 Auggen, Germany;7.5970495;47.7864318;1;
Auglaize;Auglaize County, OH, United States of America;-84.2641951;40.5942186;1;
Augsburg;Augsburg, Bavaria, Germany;10.8986971;48.3668041;1;
Auingen;72525 Auingen, Germany;9.5178903;48.4121371;1;
Aulendorf;88326 Aulendorf, Germany;9.6409331;47.9528162;1;
Aulhausen;Aulhausen, Rüdesheim am Rhein, Hesse, Germany;7.877358346881522;50.018976300000006;1;
Aurich;Aurich, Lower Saxony, Germany;7.4823808;53.4695604;1;
Ausburg;Via Ausburg, Quarto d'Altino VE, Italy;12.362987;45.5753;1;
Ausburg;Via Ausburg, Quarto d'Altino VE, Italy;12.362987;45.5753;1;
Avenches;1580 Avenches, Switzerland;7.040941;46.879575;1;
Avocourt;55270 Avocourt, France;5.1423579;49.2067659;1;
Aßelfingen;89176 Asselfingen, Germany;10.1945447;48.5290962;1;
Baarn;Baarn, UT, Netherlands;5.269143393313942;52.2002549;1;
Babelsberg;Babelsberg, 14482 Potsdam, Germany;13.108012731196634;52.3922047;1;
Babitz;Babice nad Svitavou, Southeast, Czechia;16.698097405659567;49.2826362;1;
Bach;46230 Bach, France;1.6718883;44.3505044;1;
Bacharach;55422 Bacharach, Germany;7.7684319;50.059768;1;
Backnang;71522 Backnang, Germany;9.4305243;48.9466664;1;
Bad  Salzuflen;Bad Salzuflen, North Rhine-Westphalia, Germany;8.7534422;52.0857452;1;
Bad Berka;99438 Bad Berka, Germany;11.2829778;50.9002644;1;
Bad Blankenburg;07422 Bad Blankenburg, Germany;11.2726327;50.6829946;1;
Bad Boll;73087 Bad Boll, Germany;9.6167744;48.638716;1;
Bad Cannstatt;Bad Cannstatt, Stuttgart, BW, Germany;9.2146797;48.8048828;1;
Bad Dürrenberg;06231 Bad Dürrenberg, Germany;12.0665175;51.2998551;1;
Bad Dürrheim;78073 Bad Dürrheim, Germany;8.5299837;48.0222311;1;
Bad Ems;56130 Bad Ems, Germany;7.7128538;50.3352062;1;
Bad Essen;49152 Bad Essen, Germany;8.3440599;52.3195756;1;
Bad Godesberg;Bad Godesberg, Bonn, North Rhine-Westphalia, Germany;7.1536622;50.685109;1;
Bad Hall;4540 Bad Hall, Austria;14.2091385;48.0348017;1;
Bad Harzburg;38667 Bad Harzburg, Germany;10.5643607;51.8803224;1;
Bad Homburg;Bad Homburg vor der Höhe, Hesse, Germany;8.6169093;50.2267699;1;
Bad Honnef;53604 Bad Honnef, Germany;7.2272534;50.6448582;1;
Bad Kissingen;97688 Bad Kissingen, Germany;10.0746833;50.1985698;1;
Bad Kissingen;97688 Bad Kissingen, Germany;10.0746833;50.1985698;1;
Bad Kreuznach;Bad Kreuznach, Rhineland-Palatinate, Germany;7.8657658;49.8431642;1;
Bad Köstritz;Bad Köstritz, Thuringia, Germany;12.0113701;50.9301118;1;
Bad Liebenstein;36448 Bad Liebenstein, Germany;10.3491578;50.8183801;1;
Bad Liebenzell;75378 Bad Liebenzell, Germany;8.7321279;48.7712716;1;
Bad Lippspringe;33175 Bad Lippspringe, Germany;8.81667;51.7833;1;
Bad Mergentheim;97980 Bad Mergentheim, Germany;9.7730692;49.490532;1;
Bad Münster a. Stein;Bad Münster am Stein, B 48, 55583 Bad Kreuznach, Germany;7.8471929;49.8135462;1;
Bad Münster am Stein;Bad Münster am Stein, B 48, 55583 Bad Kreuznach, Germany;7.8471929;49.8135462;1;
Bad Nauheim;61231 Bad Nauheim, Germany;8.7473608;50.3681107;1;
Bad Neuenahr;Heerstraße, 53474 Bad Neuenahr-Ahrweiler, Germany;7.1443434;50.5476115;1;
Bad Oeynhausen;Bad Oeynhausen, North Rhine-Westphalia, Germany;8.7981244;52.2014399;1;
Bad Pyrmont;31812 Bad Pyrmont, Germany;9.2434635;51.9850503;1;
Bad Rehburg;Rehburg-Loccum, Lower Saxony, Germany;9.216324;52.4392683;1;
Bad Reichenhall;83435 Bad Reichenhall, Germany;12.8760923;47.7222676;1;
Bad Reinerz;57-340 Duszniki-Zdrój, Poland;16.3901528;50.4044249;1;
Bad Sachsa;37441 Bad Sachsa, Germany;10.5534235;51.5963629;1;
Bad Salzuflen;Bad Salzuflen, North Rhine-Westphalia, Germany;8.7534422;52.0857452;1;
Bad Schussenried;88427 Bad Schussenried, Germany;9.6561098;48.0047363;1;
Bad Stuer;Bad Stuer, 17209 Stuer, Germany;12.317084;53.390341;1;
Bad Teinach;75385 Bad Teinach-Zavelstein, Germany;8.6882289;48.6886008;1;
Bad Tölz;83646 Bad Tölz, Germany;11.5582933;47.7610641;1;
Bad Urach;72574 Bad Urach, Germany;9.3978845;48.4937953;1;
Bad Waldsee;88339 Bad Waldsee, Germany;9.7542772;47.9209556;1;
Bad Wildungen;34537 Bad Wildungen, Germany;9.0940685;51.1029078;1;
Bad Wurzach;88410 Bad Wurzach, Germany;9.8949405;47.9078673;1;
Bad eilsen;Bad Eilsen, Lower Saxony, Germany;9.0997685;52.240705;1;
Bad. Godesberg;Bad Godesberg, Bonn, North Rhine-Westphalia, Germany;7.1536622;50.685109;1;
Badbergen;49635 Badbergen, Germany;7.9810703;52.6348293;1;
Badeleben;Badeleben, Saxony-Anhalt, Germany;11.1252054;52.1463618;1;
Baden-Baden;Baden-Baden, BW, Germany;8.2415239;48.7580777;1;
Baden;Baden, Bezirk Baden, Switzerland;8.3086822;47.4736827;1;
Badenweiler;79410 Badenweiler, Germany;7.6739717;47.8025477;1;
Badresch;17349 Badresch, Germany;13.6170467;53.5454686;1;
Baesweiler;52499 Baesweiler, Germany;6.1826282;50.9074568;1;
Bagband;26629 Bagband, Germany;7.60867;53.3501096;1;
Bagow;Bagow, BB, Germany;12.7008619;52.51389;1;
Bahia;Bahia, Brazil;-41.9294776;-12.285251;1;
Bahlingen;79353 Bahlingen, Germany;7.743892800482392;48.12165075;1;
Bahrenburg;Bahrenburg, Wörpedorfer Straße 14c, 28879 Grasberg, Germany;8.979884616997865;53.18172665;1;
Baienfurt;Baienfurt, BW, Germany;9.6519121;47.8280539;1;
Baiersbronn;72270 Baiersbronn, Germany;8.3720124;48.5069519;1;
Baindt;88255 Baindt, Germany;9.6622081;47.8420535;1;
Baisingen;Baisingen, 72108 Rottenburg am Neckar, Germany;8.7767897;48.5047413;1;
Baldenburg;78-425 Biały Bór, Poland;16.8377275;53.8987414;1;
Baldern;Baldern, BW, Germany;10.3147215;48.9046216;1;
Balgach;9436 Balgach, Switzerland;9.6062727;47.4068832;1;
Balingen;Balingen, BW, Germany;8.8557862;48.2737512;1;
Ballenstedt;06493 Ballenstedt, Germany;11.2290268;51.722527;1;
Ballum;Ballum, Frisia, Netherlands;5.6868744;53.4435679;1;
Baltimore;Baltimore, MD, United States of America;-76.610759;39.2908816;1;
Baltmannsweiler;73666 Baltmannsweiler, Germany;9.4459231;48.7451811;1;
Bamberg;Bamberg, Bavaria, Germany;10.8868478;49.8916044;1;
Banteln;Banteln, Lower Saxony, Germany;9.7508776;52.0682191;1;
Bar Harbor;Bar Harbor, ME, United States of America;-68.2043361;44.3876378;1;
Baranowitschi;Место бывшей типографии , типография газеты «Deutsche Kriegszeitung von Baranowitschi», Belarus, Brest Region, ДНК Baranavichy, Военный городок, Brestskaia Street;26.0257641;53.133031;1;
Baranzy;6750 Baranzy, Belgium;5.6873902;49.5570226;1;
Barbeck;Beverbeck, Lower Saxony, Germany;10.4209278;53.1247673;1;
Barby;08300 Barby, France;4.3129272;49.5217295;1;
Bardeleben;Bardeleben, 49448 Lemförde, Germany;8.3733055;52.4577786;1;
Bardenfleth;Bardenfleth, 26931 Eckfleth, Germany;8.3675337;53.2330577;1;
Barenthin;Barenthin, Gumtow, BB, Germany;12.2375418;52.9241784;1;
